,rows,min_close,max_close,avg_close,avg_RSI,avg_ATR
okx_btc,17007.0,58298.0,97664.0,74494.54,49.61,239.63
bybit_btc,17007.0,58310.6,97671.8,74494.61,49.61,234.13
